                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
PEOUTime                  105 479 3.41e+01 6.53e+01 2.42e+01 2.51e+01 1.32e+01 4.42e+00 1.08e+03 1.08e+03 10.98   151.07 2.98e+00
VISTime                   106 479 2.22e+01 4.47e+01 1.37e+01 1.48e+01 8.33e+00 3.23e+00 5.91e+02 5.87e+02  8.57    87.47 2.04e+00
VOITime                   107 479 2.83e+01 8.58e+01 1.89e+01 1.92e+01 1.20e+01 3.15e+00 1.74e+03 1.73e+03 17.01   327.37 3.92e+00
PUATime                   108 479 3.20e+01 3.59e+01 2.41e+01 2.59e+01 1.35e+01 5.32e+00 4.33e+02 4.28e+02  6.36    54.22 1.64e+00
RESTime                   109 479 2.64e+01 4.88e+01 1.83e+01 1.97e+01 1.27e+01 3.70e+00 7.74e+02 7.71e+02 10.52   135.50 2.23e+00
SQRTime                   110 479 2.81e+01 5.78e+01 2.00e+01 1.99e+01 1.34e+01 3.21e+00 1.07e+03 1.07e+03 13.22   223.26 2.64e+00
SRTime                    111 479 2.74e+01 4.38e+01 1.71e+01 1.92e+01 1.15e+01 3.13e+00 4.36e+02 4.33e+02  5.92    41.39 2.00e+00
LSTime                    112 479 4.53e+01 8.29e+01 2.73e+01 3.11e+01 1.99e+01 4.85e+00 1.11e+03 1.10e+03  8.18    84.58 3.79e+00
PPCTime                   113 479 3.41e+01 5.76e+01 2.34e+01 2.57e+01 1.72e+01 4.24e+00 9.39e+02 9.35e+02 10.55   143.37 2.63e+00
PSTime                    114 479 5.04e+01 8.66e+01 3.19e+01 3.75e+01 2.17e+01 6.29e+00 1.34e+03 1.33e+03  9.81   121.85 3.96e+00
PUTime                    115 479 3.60e+01 4.40e+01 2.56e+01 2.87e+01 1.68e+01 5.59e+00 6.44e+02 6.39e+02  7.70    86.61 2.01e+00
TKRTime                   116 479 3.31e+01 7.70e+01 1.97e+01 2.17e+01 1.56e+01 3.09e+00 1.17e+03 1.17e+03 10.10   123.29 3.52e+00
WEITime                   117 479 3.91e+01 4.71e+01 2.53e+01 3.11e+01 1.88e+01 5.78e+00 5.72e+02 5.66e+02  5.85    48.53 2.15e+00
PERCEPTIONTime            118 479 3.51e+01 6.05e+01 2.54e+01 2.62e+01 1.89e+01 3.31e+00 8.70e+02 8.66e+02  9.11   103.06 2.76e+00
WORKPACETime              119 479 1.03e+01 1.48e+01 7.81e+00 8.31e+00 3.37e+00 1.55e+00 2.82e+02 2.81e+02 13.68   238.75 6.80e-01
AUTONOMYTime              120 479 1.26e+01 2.00e+01 9.18e+00 9.73e+00 4.21e+00 2.54e+00 3.16e+02 3.13e+02 10.47   135.39 9.10e-01
WORKAMOUNTTime            121 479 9.42e+00 2.67e+01 6.58e+00 6.99e+00 3.48e+00 1.78e+00 5.54e+02 5.52e+02 18.22   361.89 1.22e+00
PARALLELTime              122 479 8.23e+00 7.40e+00 6.47e+00 6.80e+00 3.68e+00 1.35e+00 5.68e+01 5.55e+01  3.39    14.68 3.40e-01
WORKLOADTime              123 479 8.94e+00 2.86e+01 6.10e+00 6.23e+00 3.41e+00 1.18e+00 5.96e+02 5.95e+02 18.34   368.10 1.31e+00
